Sport,Venue,Zone,Session Code,Date,Games Day,Session Type,Session Description,Start Time,End Time
3x3 Basketball,Valley Complex 3,Valley,BK301,7/16/2028,2,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK302,7/16/2028,2,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK303,7/16/2028,2,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK304,7/17/2028,3,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK305,7/17/2028,3,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK306,7/17/2028,3,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK307,7/18/2028,4,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK308,7/18/2028,4,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK309,7/18/2028,4,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK310,7/19/2028,5,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK311,7/19/2028,5,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK312,7/19/2028,5,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK313,7/20/2028,6,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK314,7/20/2028,6,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK315,7/20/2028,6,Preliminary,Men's Pool Round (2 Games) | Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK316,7/21/2028,7,Preliminary,Men's Play-In (2 Games) | Women's Play-In (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK317,7/21/2028,7,Quarterfinal,Men's Quarterfinal (2 Games) | Women's Quarterfinal (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK318,7/21/2028,7,Quarterfinal,Men's Quarterfinal (2 Games) | Women's Quarterfinal (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK319,7/22/2028,8,Semifinal,Men's Semifinal (2 Games) | Women's Semifinal (2 Games),17:00,19:00
3x3 Basketball,Valley Complex 3,Valley,BK320,7/22/2028,8,Final,Men's Bronze Medal Game | Women's Bronze Medal Game | Men's Gold Medal Game | Women's Gold Medal Game,21:00,23:30
Archery,N/A,Carson,ARC01,7/19/2028,5,N/A,Not Ticketed | Women's Compound Qualification Round | Men's Recurve Qualification Round,9:30,12:00
Archery,N/A,Carson,ARC02,7/19/2028,5,N/A,Not Ticketed | Men's Compound Qualification Round | Women's Recurve Qualification Round,13:30,16:30
Archery,Carson Stadium,Carson,ARC03,7/21/2028,7,Final,Compound Mixed Team 1/8 Elimination Round | Compound Mixed Team Quarterfinal | Compound Mixed Team Semifinal | Compound Mixed Team Bronze Medal Match | Compound Mixed Team Gold Medal Match,19:30,23:15
Archery,Carson Stadium,Carson,ARC04,7/22/2028,8,Preliminary,Recurve Men's Individual 1/32 Elimination Round | Recurve Women's Individual 1/32 Elimination Round,9:30,12:35
